@relation 2013_fertig-weka.filters.unsupervised.attribute.NominalToString-Cfirst-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute Tweet string
@attribute Label {0,1}

@data
'Friedlich demonstrierende Buerger in Istanbul niedergeknueppelt. Gegen Despoten Islamisierung AKP und Erdogan! ',0
' werden gebrochen eine zunehmende Islamisierung findet statt! Das ist nicht das was ich mir von der Tuerkei erhofft habe',0
'Die Abschreckungspolitik und ihre Opfer Asylbewerber in Deutschland ',0
'korrektheiten Islamisierung PoliticalCorrectness Merkels suessliche Demagogie: Die Reden Angela Merkels sind... ',0
'Korrektheiten:Merkels suessliche Demagogie: Die Reden Angela... ',0
'    Ein neues Gesetz soll den Konsum von Alkohol in der Tuerkei. von wegen Islamisierung ! Weg mit dem Alkohol!',0
'Asylbewerber in Deutschland: Der grosse Traum von Arbeit. Ein Fluechtling erzaehlt: ',0
'  Derzeit gibt es in Finnland 3.100 Plaetze in Asylbewerberheimen. 660 davon sind frei ',0
'  yes as far as I can remember. (Persien war mal ein groesseres Reich seit der Islamisierung heisst es Iran)',0
' Gescheiterte Integration in Deutschland oder Islamisierung des Alltags: ',1
'    Leider ist die Islamisierung gar nicht so schleichend. Aber: Wir sind da! Und wir sind viele! S…',0
'  Ein neues Gesetz soll den Konsum von Alkohol in der Tuerkei. von wegen Islamisierung ! Weg mit dem Alkohol!',0
'  Messerangriff auf Kuss-Aktion in Ankara ',0
'Derzeit gibt es in Finnland 3.100 Plaetze in Asylbewerberheimen. 660 davon sind frei ',0
'  Leider ist die Islamisierung gar nicht so schleichend. Aber: Wir sind da! Und wir sind viele! StopIslam',0
'  Korrektheiten:London Gewalt und der Islam: Wuerde bei einem Mordanschlag... ',0
'Korrektheiten:London Gewalt und der Islam: Wuerde bei einem Mordanschlag... ',1
'korrektheiten Islam Islamisierung London Gewalt und der Islam: Wuerde bei einem Mordanschlag der Moerder “Heil... ',0
'Abgelehnte Asylbewerber oft politisch verfolgt  ',0
'Ein weitere Beleg fuer die schleichende (?) Islamisierung der Tuerkei: Religioese greifen Kuss-Protest an ',0
'  Protest gegen Islamisierung der Tuerkei - Messerangriff auf Kuss-Aktion in Ankara ',1
'Protest gegen Islamisierung der Tuerkei - Messerangriff auf Kuss-Aktion in Ankara ',0
' Ich seh die Islamisierung der Tuerkei genauso wie die Neuevangelisierung des Westens.',0
' Da sagst du was! Es geht meistens eh nur um Macht und Geld. Da darf man natuerlich haltlose Vorwuerfe von Islamisierung machen ',0
' Der Artikel zeigt eine einzige Meinung. Nicht die Mehrheit der Istanbuler Tuerken erst recht keine Anzeichen von Islamisierung.',0
' Aber diesen Istanbuler Tuerken stoert sie bestimmt. Wuchuuu... schleichende Islamisierung huuuu ',0
' Ich glaube du hast den Artikel nicht gelesen es sind Tuerken die die schleichende Islamisierung sehen.',0
'  Tuerkei: Religioese Fundis greifen oeffentliches Kiss-in an ',0
' Danke uebrigens dass du erklaerst weswegen eine Islamisierung hinter jedem Gesetz Tuerkeis gesucht wird. Hetze gegen AKP. Aha! ',0
'  Tuerkei: Trinkprotest gegen das Verbot ',1
' Ich finde es gut dass keine Islamisierung erwaehnt wird bei dieser Alkoholpolitikdebatte Schwedens ',0
' Schwedens Alkoholpolitik ist schleichende Islamisierung. Haha! Wer kauft diese Nachrichten bloss ab?  ',0
'Tuerkei: Trinkprotest gegen das Verbot ',1
'Tuerkei: Religioese Fundis greifen oeffentliches Kiss-in an ',0
'Gegen Islamisierung: Paare protestieren mit Kussaktion - Radikale greifen sie mit Messern an Tuerkei Ankara',0
'Reconquista:Islamisierung Krieg und Christentum: In einem meiner... ',0
'Korrektheiten:Was bringt Islamunterricht an Schulen?: Die... ',0
'New post: Islamisierung ',0
'Keine Islamisierung in Deutschland und in Europa. Fuer den Erhalt der abendlaendischen Kultur! ',0
'Tuerkei: Kuessen gegen Islamisierung ',0
'Auch die Tuerken haben langsam die Faxen dicke und kaempfen gegen die schleichende Islamisierung in ihrem eigenen... ',0
'Asylbewerber aus Bernburg bei Drogenrazzia in Berlin verhaftet. ',0
'Auch in Berlin Reinickendorf machen einige Anwohner kraeftig Stimmung gegen eine Unterkunft fuer Asylbewerber. ',0
'Birkenau: In einem Heim fuer Asylbewerber in Reisen ist es heute Nacht zu einem Brand gekommen. ',0
'Video | Rhein-Main - Hessen | hr-online.de - 105 Euro Stundenlohn:   Umstrittene Jobs fuer Asylbewerber ',0
'Gute Sendung in der ard ueber Syrien.  Da droht ein neues Afghanistan.  Islamisierung',0
'Asylbewerber in Schwaebisch Gmuend: Was die Bahn jetzt tun muss. PR Krisenpraevention Strategie   ',0
'  Asylbewerber im leeren Luxushotel Lederer in Bestlage Wiessee Tegernsee? Passt nicht sagt der Buergermeister. ',0
'  fuer Hungerlohn: Deutsche Bahn beschaeftigte Asylbewerber als Koffertraeger ',0
'Asylbewerber im leeren Luxushotel Lederer in Bestlage Wiessee Tegernsee? Passt nicht sagt der Buergermeister. ',0
'  Lesen: Und jetzt hatte ich endlich das Gefuehl gebraucht zu werden ',0
'  Auch Asylbewerber kriegen manchmal Freunde gegen die man sich kaum wehren kann. SchwaebischGmuend ',0
'  Asylbewerber in Schwaebisch Gmuend.Praxis von political corretness im Netz.Hauptsache UNS gehts gut! ',0
'Asylbewerber in Schwaebisch Gmuend.Praxis von political corretness im Netz.Hauptsache UNS gehts gut! ',0
'Lesen: Und jetzt hatte ich endlich das Gefuehl gebraucht zu werden ',0
'Diese Geschichte ist rundum einfach nur traurig: ',0
'Blinder Aktionismus und Naivitaet: Uns wurde eine Chance geraubt ',0
'Uns wurde eine grosse Chance geraubt so die Asylbewerber in Gmuend. Mehr als 105 €/h laesst das Gesetz nicht zu! ',0
'  Nach dem Ende des Gepaecktraeger-Projekts der Bahn empoeren sich die Asylbewerber ueber die Sklaverei-Vorwuerfe ',0
